SRC,SwXF,RA,Dec,SNdetect,SNsosta,index
TXS_1516+064,J151845.6+061355,229.6900708,6.231848333,32.32,26.47,0
V1405_Cas,J232448.0+611113,351.2000542,61.18702139,20.7,18.17,0
