SRC,SwXF,RA,Dec,SNdetect,SNsosta,index
TXS_1516+064,J151845.6+061355,229.6900708333333,6.231848333333334,32.32,26.47,0
V1405_Cas,J232448.0+611113,351.2000541666666,61.18702138888889,20.7,18.17,0
