SRC,SwXF,RA,Dec,SNdetect,SNsosta,index,exposure,counts,nh,logFX,dlogFX,PhoIndex,dPhoIndex,cstat,bins,Steppar
TXS_1516+064,J151845.6+061355,229.6900708333333,6.231848333333334,32.32,26.47,0,4777.0,864.0,0.0299,-11.0366,0.0166848,2.02927,0.0522715,278.42,300,False
V1405_Cas,J232448.0+611113,351.2000541666666,61.18702138888889,20.7,18.17,0,7222.0,393.0,0.745,-8.31414,0.0414163,9.49996,0.151154,596.11,103,False
