 
  >> Using map h1_nh_HI4PI.fits
 
 LII , BII 112.685596    0.050659
 Requested position at X and Y pixel   647.60    974.69
  WARNING:  Input size  1.00 < distance  2.500
  Set size == distance
 
 Search nH in 30 X 30 pixels box
 Each pixel is  0.083 deg 0.083 deg
 
     RA       DEC      Dist(deg)        nH
  352.2123  60.5254   0.8220    7.78E+21
  352.0301  60.4955   0.7989    7.77E+21
  351.8482  60.4653   0.7865    7.74E+21
  351.6667  60.4348   0.7851    7.72E+21
  351.4857  60.4041   0.7949    7.67E+21
  351.3050  60.3732   0.8154    7.59E+21
  351.1246  60.3420   0.8458    7.50E+21
  350.9447  60.3106   0.8850    7.46E+21
  350.7652  60.2790   0.9319    7.49E+21
  350.5860  60.2471   0.9854    7.53E+21
  350.4073  60.2150   1.0444    7.56E+21
  350.2289  60.1826   1.1081    7.58E+21
  350.0509  60.1501   1.1756    7.57E+21
  349.8733  60.1172   1.2463    7.53E+21
  349.6961  60.0842   1.3197    7.46E+21
  349.5194  60.0509   1.3953    7.41E+21
  349.3430  60.0174   1.4728    7.42E+21
  349.1670  59.9837   1.5518    7.44E+21
  354.3824  60.9355   1.5542    7.99E+21
  354.1954  60.9085   1.4702    8.03E+21
  354.0087  60.8812   1.3878    7.96E+21
  353.8224  60.8536   1.3071    7.83E+21
  353.6365  60.8259   1.2285    7.70E+21
  353.4509  60.7978   1.1525    7.60E+21
  353.2657  60.7695   1.0795    7.54E+21
  353.0809  60.7410   1.0102    7.52E+21
  352.8964  60.7122   0.9454    7.51E+21
  352.7123  60.6832   0.8860    7.49E+21
  352.5286  60.6539   0.8332    7.52E+21
  352.3453  60.6244   0.7881    7.60E+21
  352.1623  60.5946   0.7523    7.67E+21
  351.9797  60.5646   0.7270    7.67E+21
  351.7975  60.5344   0.7134    7.65E+21
  351.6157  60.5039   0.7119    7.64E+21
  351.4343  60.4731   0.7228    7.61E+21
  351.2532  60.4421   0.7453    7.54E+21
  351.0726  60.4109   0.7785    7.42E+21
  350.8923  60.3795   0.8211    7.35E+21
  350.7124  60.3478   0.8716    7.37E+21
  350.5329  60.3158   0.9286    7.43E+21
  350.3538  60.2836   0.9912    7.47E+21
  350.1751  60.2512   1.0582    7.48E+21
  349.9968  60.2186   1.1288    7.47E+21
  349.8189  60.1857   1.2024    7.44E+21
  349.6414  60.1526   1.2784    7.39E+21
  349.4643  60.1193   1.3564    7.37E+21
  349.2876  60.0857   1.4361    7.39E+21
  349.1113  60.0519   1.5172    7.42E+21
  354.3370  61.0053   1.5227    8.14E+21
  354.1496  60.9782   1.4368    8.08E+21
  353.9625  60.9509   1.3522    7.90E+21
  353.7758  60.9233   1.2691    7.69E+21
  353.5895  60.8955   1.1879    7.53E+21
  353.4036  60.8674   1.1090    7.40E+21
  353.2180  60.8391   1.0329    7.30E+21
  353.0328  60.8105   0.9602    7.24E+21
  352.8480  60.7817   0.8917    7.23E+21
  352.6635  60.7526   0.8284    7.25E+21
  352.4794  60.7233   0.7715    7.31E+21
  352.2957  60.6937   0.7227    7.43E+21
  352.1124  60.6639   0.6834    7.53E+21
  351.9295  60.6338   0.6555    7.56E+21
  351.7469  60.6035   0.6403    7.55E+21
  351.5648  60.5729   0.6387    7.56E+21
  351.3830  60.5421   0.6509    7.55E+21
  351.2016  60.5111   0.6759    7.49E+21
  351.0206  60.4798   0.7125    7.37E+21
  350.8400  60.4483   0.7588    7.27E+21
  350.6598  60.4166   0.8133    7.27E+21
  350.4799  60.3846   0.8743    7.34E+21
  350.3005  60.3523   0.9406    7.39E+21
  350.1215  60.3199   1.0110    7.40E+21
  349.9428  60.2872   1.0848    7.39E+21
  349.7646  60.2542   1.1613    7.37E+21
  349.5867  60.2211   1.2400    7.36E+21
  349.4093  60.1877   1.3204    7.37E+21
  349.2323  60.1541   1.4023    7.41E+21
  349.0556  60.1202   1.4853    7.45E+21
  354.2917  61.0752   1.4942    8.21E+21
  354.1039  61.0481   1.4064    8.05E+21
  353.9165  61.0207   1.3197    7.80E+21
  353.7294  60.9931   1.2344    7.56E+21
  353.5427  60.9652   1.1506    7.36E+21
  353.3564  60.9371   1.0689    7.19E+21
  353.1704  60.9087   0.9896    7.03E+21
  352.9849  60.8800   0.9133    6.94E+21
  352.7997  60.8512   0.8409    6.93E+21
  352.6148  60.8220   0.7734    6.99E+21
  352.4304  60.7926   0.7121    7.10E+21
  352.2463  60.7630   0.6588    7.26E+21
  352.0627  60.7331   0.6155    7.39E+21
  351.8794  60.7030   0.5843    7.45E+21
  351.6965  60.6727   0.5673    7.47E+21
  351.5139  60.6420   0.5656    7.50E+21
  351.3318  60.6112   0.5793    7.52E+21
  351.1501  60.5801   0.6074    7.48E+21
  350.9687  60.5488   0.6479    7.36E+21
  350.7877  60.5172   0.6987    7.25E+21
  350.6072  60.4854   0.7576    7.25E+21
  350.4270  60.4533   0.8229    7.32E+21
  350.2472  60.4211   0.8931    7.38E+21
  350.0679  60.3885   0.9671    7.38E+21
  349.8889  60.3558   1.0442    7.38E+21
  349.7103  60.3228   1.1236    7.38E+21
  349.5322  60.2896   1.2048    7.40E+21
  349.3544  60.2561   1.2876    7.44E+21
  349.1770  60.2224   1.3715    7.50E+21
  349.0001  60.1885   1.4564    7.54E+21
  354.2465  61.1451   1.4689    8.19E+21
  354.0583  61.1179   1.3793    7.95E+21
  353.8705  61.0905   1.2907    7.66E+21
  353.6831  61.0628   1.2031    7.42E+21
  353.4960  61.0349   1.1169    7.19E+21
  353.3093  61.0067   1.0324    6.96E+21
  353.1230  60.9783   0.9500    6.75E+21
  352.9370  60.9496   0.8702    6.63E+21
  352.7515  60.9207   0.7937    6.65E+21
  352.5663  60.8915   0.7217    6.75E+21
  352.3815  60.8621   0.6556    6.91E+21
  352.1970  60.8324   0.5972    7.10E+21
  352.0130  60.8024   0.5490    7.28E+21
  351.8293  60.7723   0.5138    7.38E+21
  351.6461  60.7419   0.4943    7.43E+21
  351.4632  60.7112   0.4924    7.49E+21
  351.2807  60.6803   0.5082    7.53E+21
  351.0986  60.6491   0.5401    7.50E+21
  350.9169  60.6178   0.5854    7.40E+21
  350.7356  60.5861   0.6412    7.32E+21
  350.5547  60.5543   0.7051    7.32E+21
  350.3742  60.5222   0.7749    7.39E+21
  350.1941  60.4898   0.8492    7.45E+21
  350.0144  60.4572   0.9269    7.46E+21
  349.8351  60.4244   1.0071    7.47E+21
  349.6562  60.3914   1.0894    7.49E+21
  349.4777  60.3581   1.1731    7.52E+21
  349.2996  60.3246   1.2581    7.57E+21
  349.1219  60.2909   1.3440    7.62E+21
  348.9446  60.2569   1.4307    7.66E+21
  354.2015  61.2150   1.4468    8.07E+21
  354.0129  61.1878   1.3557    7.80E+21
  353.8247  61.1603   1.2652    7.52E+21
  353.6369  61.1326   1.1757    7.27E+21
  353.4494  61.1046   1.0872    7.01E+21
  353.2624  61.0764   1.0001    6.72E+21
  353.0757  61.0479   0.9146    6.48E+21
  352.8893  61.0192   0.8313    6.36E+21
  352.7034  60.9902   0.7508    6.40E+21
  352.5178  60.9610   0.6741    6.54E+21
  352.3326  60.9315   0.6027    6.74E+21
  352.1478  60.9018   0.5385    6.97E+21
  351.9634  60.8718   0.4845    7.19E+21
  351.7794  60.8416   0.4442    7.34E+21
