SRC,SwXF,RA,Dec,SNdetect,SNsosta,In95
V1405_Cas,J232448.0+611113,351.2000541666666,61.18702138888889,20.7,18.17,True
V1405_Cas,J232621.0+610511,351.58746249999996,61.08637166666667,3.196,3.416,False
V1405_Cas,J232540.1+612005,351.417125,61.334808888888894,2.823,2.591,False
