SRC,SwXF,RA,Dec,SNdetect,SNsosta,In95
TXS_1516+064,J151845.6+061355,229.6900708333333,6.231848333333334,32.32,26.47,True
TXS_1516+064,J151859.7+061842,229.7485583333333,6.311529166666666,6.221,5.581,False
