 
  >> Using map h1_nh_HI4PI.fits
 
 LII , BII   8.860643   49.256719
 Requested position at X and Y pixel  1869.69   1547.38
  WARNING:  Input size  1.00 < distance  2.500
  Set size == distance
 
 Search nH in 30 X 30 pixels box
 Each pixel is  0.083 deg 0.083 deg
 
     RA       DEC      Dist(deg)        nH
  230.5385   5.7780   0.9578    3.33E+20
  230.4938   5.7163   0.9509    3.27E+20
  230.4490   5.6546   0.9499    3.20E+20
  230.4042   5.5930   0.9550    3.18E+20
  230.3593   5.5315   0.9659    3.18E+20
  230.3143   5.4700   0.9826    3.20E+20
  230.2692   5.4086   1.0046    3.25E+20
  230.2241   5.3472   1.0317    3.31E+20
  230.1789   5.2859   1.0634    3.40E+20
  230.1336   5.2247   1.0994    3.49E+20
  230.0882   5.1635   1.1393    3.58E+20
  230.0428   5.1024   1.1827    3.66E+20
  229.9973   5.0413   1.2291    3.71E+20
  229.9517   4.9803   1.2783    3.74E+20
  229.9061   4.9193   1.3299    3.77E+20
  229.8604   4.8585   1.3838    3.80E+20
  229.8146   4.7976   1.4396    3.81E+20
  229.7687   4.7368   1.4970    3.82E+20
  230.9986   6.5824   1.3472    3.01E+20
  230.9549   6.5200   1.2899    3.00E+20
  230.9110   6.4577   1.2346    2.98E+20
  230.8671   6.3954   1.1814    2.94E+20
  230.8231   6.3332   1.1309    2.92E+20
  230.7790   6.2710   1.0832    2.92E+20
  230.7349   6.2089   1.0389    2.96E+20
  230.6907   6.1469   0.9983    3.05E+20
  230.6464   6.0849   0.9619    3.16E+20
  230.6020   6.0230   0.9303    3.27E+20
  230.5576   5.9611   0.9039    3.35E+20
  230.5130   5.8993   0.8831    3.38E+20
  230.4685   5.8375   0.8685    3.35E+20
  230.4238   5.7758   0.8602    3.30E+20
  230.3791   5.7142   0.8585    3.25E+20
  230.3342   5.6526   0.8635    3.23E+20
  230.2894   5.5911   0.8749    3.24E+20
  230.2444   5.5296   0.8926    3.25E+20
  230.1994   5.4682   0.9162    3.28E+20
  230.1543   5.4069   0.9453    3.32E+20
  230.1091   5.3456   0.9793    3.39E+20
  230.0638   5.2843   1.0178    3.48E+20
  230.0185   5.2232   1.0602    3.57E+20
  229.9731   5.1620   1.1062    3.66E+20
  229.9276   5.1010   1.1552    3.73E+20
  229.8820   5.0400   1.2070    3.79E+20
  229.8364   4.9791   1.2612    3.84E+20
  229.7907   4.9182   1.3175    3.88E+20
  229.7449   4.8574   1.3756    3.90E+20
  229.6991   4.7966   1.4353    3.91E+20
  230.9283   6.6418   1.2973    3.04E+20
  230.8845   6.5794   1.2372    3.04E+20
  230.8407   6.5171   1.1789    3.02E+20
  230.7968   6.4548   1.1226    2.99E+20
  230.7528   6.3926   1.0686    2.96E+20
  230.7088   6.3305   1.0175    2.95E+20
  230.6647   6.2684   0.9695    2.97E+20
  230.6205   6.2064   0.9253    3.03E+20
  230.5762   6.1444   0.8852    3.11E+20
  230.5319   6.0825   0.8500    3.20E+20
